N,K,delta,rho,time_ms,recall
1000,20,0.001,0.25,582,74.2951
1000,20,0.001,0.5,768,81.9152
1000,20,0.001,0.75,888,83.2302
1000,20,0.001,1,946,84.5602
1000,20,0.01,0.25,592,74.0951
1000,20,0.01,0.5,755,81.5651
1000,20,0.01,0.75,881,83.3001
1000,20,0.01,1,950,84.0502
1000,20,0.1,0.25,569,72.7301
1000,20,0.1,0.5,787,81.3102
1000,20,0.1,0.75,874,83.2953
1000,20,0.1,1,931,84.0702
1000,50,0.001,0.25,2379,96.0296
1000,50,0.001,0.5,3398,97.8894
1000,50,0.001,0.75,4367,97.9753
1000,50,0.001,1,4853,97.9953
1000,50,0.01,0.25,2446,96.1537
1000,50,0.01,0.5,3400,97.8934
1000,50,0.01,0.75,4404,97.9933
1000,50,0.01,1,4748,97.9913
1000,50,0.1,0.25,2284,95.8697
1000,50,0.1,0.5,3151,97.8634
1000,50,0.1,0.75,4073,97.9753
1000,50,0.1,1,4594,97.9793
1000,100,0.001,0.25,8328,98.9403
1000,100,0.001,0.5,15953,98.9993
1000,100,0.001,0.75,21993,98.9993
1000,100,0.001,1,24375,98.9993
1000,100,0.01,0.25,8475,98.9464
1000,100,0.01,0.5,15771,98.9993
1000,100,0.01,0.75,21898,98.9993
1000,100,0.01,1,24447,98.9993
1000,100,0.1,0.25,8085,98.8823
1000,100,0.1,0.5,15909,98.9993
1000,100,0.1,0.75,21750,98.9993
1000,100,0.1,1,24380,98.9993
