N,K,delta,rho,time_ms,recall
20,5,0.001,0.25,23,79
20,5,0.001,0.5,6,83
20,5,0.001,0.75,17,81
20,5,0.001,1,25,80
20,5,0.01,0.25,51,84
20,5,0.01,0.5,29,77
20,5,0.01,0.75,7,78
20,5,0.01,1,11,79
20,5,0.1,0.25,26,77
20,5,0.1,0.5,14,78
20,5,0.1,0.75,23,80
20,5,0.1,1,24,81
20,10,0.001,0.25,28,90.5
20,10,0.001,0.5,39,90
20,10,0.001,0.75,42,90
20,10,0.001,1,46,90
20,10,0.01,0.25,12,90
20,10,0.01,0.5,32,90
20,10,0.01,0.75,29,90
20,10,0.01,1,29,90
20,10,0.1,0.25,19,92
20,10,0.1,0.5,24,90
20,10,0.1,0.75,29,90
20,10,0.1,1,35,90
